Year,Month,Carrier,Carrier_Name,Arrival Flights,Delays,Employees,Passengers,Delays_Over_Flights,Employees_Over_Flights,Passengers_Over_Flights
2017,9,HA,Hawaiian_Airlines,6571,231,6491,897433,0.035154467,0.987825293,136.5747984
2017,9,MQ,Envoy_Air,0,0,0,0,0,0,0
2017,9,NK,Spirit_Air_Lines,12919,517,6501,1714216,0.040018577,0.503212323,132.6895271
2017,9,OH,PSA_Airlines,0,0,0,0,0,0,0
2017,9,OO,SkyWest_Airlines,59781,2152,13169,3047790,0.03599806,0.220287382,50.98258644
2017,9,UA,United_Air_Lines,48875,1402,88279,8373405,0.028685422,1.806219949,171.3228645
2017,9,WN,Southwest_Airlines,105614,4481,56612,11925104,0.042428087,0.536027421,112.9121518
2017,9,YV,Mesa_Airlines,0,0,0,0,0,0,0
2017,9,YX,Republic_Airline,0,0,0,0,0,0,0
2017,8,9E,Endeavor,0,0,0,0,0,0,0
2017,8,AA,American_Airlines,79269,4716,107271,13113261,0.059493623,1.353252848,165.427355
2017,8,AS,Alaska_Airlines,16784,601,13455,2409679,0.035807912,0.801656339,143.5700071
2017,8,B6,JetBlue_Airways,26194,2437,20213,3698487,0.093036573,0.771665267,141.1959609
2017,8,DL,Delta_Air_Lines,84805,3383,87323,13811393,0.039891516,1.029691646,162.8605978
2017,8,F9,Frontier_Airlines,9232,485,3639,1472662,0.052534662,0.394172444,159.5171144
2017,8,G4,Allegiant_Air,0,0,0,0,0,0,0
2017,8,HA,Hawaiian_Airlines,7280,287,6462,1002898,0.039423077,0.887637363,137.7607143
2017,8,MQ,Envoy_Air,0,0,0,0,0,0,0
2017,8,NK,Spirit_Air_Lines,14253,441,6393,2239683,0.030940855,0.44853715,157.1376552
2017,8,OH,PSA_Airlines,0,0,0,0,0,0,0
2017,8,OO,SkyWest_Airlines,66073,3334,12992,3351177,0.05045934,0.196630999,50.71931046
2017,8,UA,United_Air_Lines,55445,2238,88365,9959773,0.040364325,1.593741546,179.6333844
2017,8,WN,Southwest_Airlines,116158,8555,56365,13656895,0.073649684,0.485244236,117.5717127
2017,8,YV,Mesa_Airlines,0,0,0,0,0,0,0
2017,8,YX,Republic_Airline,0,0,0,0,0,0,0
2017,7,9E,Endeavor,0,0,0,0,0,0,0
2017,7,AA,American_Airlines,79403,5501,107307,13448312,0.069279498,1.35142249,169.3678073
2017,7,AS,Alaska_Airlines,17027,615,13305,2439990,0.036119105,0.781406002,143.3012275
2017,7,B6,JetBlue_Airways,26436,2677,20189,3733335,0.101263429,0.763693448,141.2216296
2017,7,DL,Delta_Air_Lines,83604,4467,87563,13868602,0.053430458,1.047354194,165.8844314
2017,7,F9,Frontier_Airlines,9611,562,3593,1600894,0.058474664,0.373842472,166.5689314
2017,7,G4,Allegiant_Air,0,0,0,0,0,0,0
2017,7,HA,Hawaiian_Airlines,7308,318,6391,1042573,0.043513957,0.874521073,142.6618774
2017,7,MQ,Envoy_Air,0,0,0,0,0,0,0
2017,7,NK,Spirit_Air_Lines,14212,322,6402,2254400,0.02265691,0.450464396,158.6265128
2017,7,OH,PSA_Airlines,0,0,0,0,0,0,0
2017,7,OO,SkyWest_Airlines,64559,3065,12771,3297977,0.047475952,0.197819049,51.08469772
2017,7,UA,United_Air_Lines,53569,2503,88498,10549831,0.046724785,1.652037559,196.9391066
2017,7,WN,Southwest_Airlines,117975,7834,56256,14650890,0.066403899,0.47684679,124.1863954
2017,7,YV,Mesa_Airlines,0,0,0,0,0,0,0
2017,7,YX,Republic_Airline,0,0,0,0,0,0,0
2017,6,9E,Endeavor,0,0,0,0,0,0,0
2017,6,AA,American_Airlines,77129,5036,107032,13007839,0.06529321,1.387701124,168.6504298
2017,6,AS,Alaska_Airlines,16378,616,13165,2326966,0.03761143,0.803822201,142.0787642
2017,6,B6,JetBlue_Airways,25333,2567,20148,3452496,0.101330281,0.795326254,136.2845301
2017,6,DL,Delta_Air_Lines,81033,4108,88058,13383938,0.050695396,1.086693076,165.1665124
2017,6,F9,Frontier_Airlines,8913,562,3636,1487839,0.063053966,0.407943453,166.9290923
2017,6,G4,Allegiant_Air,0,0,0,0,0,0,0
2017,6,HA,Hawaiian_Airlines,7076,413,6356,995533,0.058366309,0.898247598,140.6914924
2017,6,MQ,Envoy_Air,0,0,0,0,0,0,0
2017,6,NK,Spirit_Air_Lines,13486,739,6317,2114324,0.054797568,0.468411686,156.7791784
